user_id,password,role
proof2@mycsu.edu,proof2,professor
proof3@mycsu.edu,proof3,professor
proof4@mycsu.edu,proof4,professor
proof5@mycsu.edu,proof5,professor
proof6@mycsu.edu,proof6,professor
proof7@mycsu.edu,proof7,professor
proof8@mycsu.edu,proof8,professor
proof9@mycsu.edu,proof9,professor
proof10@mycsu.edu,proof10,professor
proof11@mycsu.edu,proof11,professor
